num ex mark,num words,num chars,avg_word,stopwords,upper,ScoreAngry,ScoreDisgust,ScoreFear,ScoreHappy,ScoreSad,ScoreSurprise
1,6,37,5.332,2,0,2,2,2,2,2,0
1,19,119,5.316,5,0,0,0,0,2,0,1
0,18,92,4.41,7,0,0,0,0,0,0,0
0,11,38,4.668,2,0,0,0,0,1,0,0
2,27,134,4.0,11,0,1,0,1,0,0,1
0,27,132,3.926,10,1,0,0,0,1,1,0
0,12,40,4.145,3,0,0,0,0,0,0,0
5,17,85,4.06,3,2,0,0,0,0,0,0
0,31,136,3.42,15,0,0,0,0,0,0,0
0,29,137,3.893,14,0,0,1,1,1,2,1
2,8,43,4.5,3,1,0,0,0,0,0,0
0,15,72,4.145,4,0,0,0,0,0,0,0
0,15,69,3.666,6,0,0,1,0,0,1,0
0,58,269,3.654,33,0,1,0,0,0,1,0
0,18,93,4.223,9,0,1,1,0,1,0,1
0,22,121,4.547,9,0,0,0,0,0,0,0
0,10,62,5.89,2,0,0,1,0,1,0,0
0,20,123,5.2,8,0,0,0,0,0,0,0
0,6,30,4.168,3,0,0,0,0,1,0,0
0,20,93,3.7,13,0,0,0,0,0,1,0
0,51,295,4.805,26,0,0,0,0,1,0,0
0,8,38,3.875,3,2,0,0,0,1,0,0
0,26,140,4.6,10,0,0,0,0,0,0,0
0,25,115,3.791,11,1,0,0,2,1,1,2
0,7,38,4.57,2,0,0,1,0,1,1,0
3,17,79,3.938,6,0,0,0,0,1,0,0
3,14,68,3.928,4,1,0,0,0,0,0,0
0,9,42,4.25,2,0,1,0,0,0,0,0
0,6,32,5.4,2,0,0,1,1,0,3,0
1,19,107,4.945,7,1,0,0,0,0,0,0
0,22,109,4.19,10,1,0,0,0,0,0,0
3,20,124,5.25,5,3,1,1,1,0,1,0
4,13,79,5.152,6,0,0,0,0,0,0,0
0,6,29,4.8,0,1,0,0,0,0,0,0
1,19,85,3.525,2,2,0,0,0,0,0,0
0,22,77,3.5,7,1,0,0,0,1,0,1
0,16,81,4.4,6,2,0,0,0,0,0,0
0,13,59,3.615,7,0,0,0,0,1,0,1
1,13,66,4.152,4,0,0,0,0,0,0,0
0,28,134,3.963,12,1,0,0,0,0,1,0
0,26,134,4.36,5,0,0,0,0,0,0,0
